Название;Продавец;URL;Дата;Цена;Номер;Описание;Регион;Город;Доп.параметры;Фото;Категория;Column1
R20 225/40 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12328008/;24.10.2023;250.00;995595798844;225/40 R20 პირელის ფირმის 2020 წლის 2 ცალი, გუდიარის ფირმის 2019 წლის 2 ცალი საბურავი, სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=20|Ширина шины=225|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0812/12328008_1.jpg,https://static.my.ge/myparts/photos/thumbs/0812/12328008_2.jpg;Шины;
R20 245/35 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12328011/;20.10.2023;250.00;995595798844;245/35 R20 კონტინენტალის ფირმის 2020 წლის წყვილი საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=CONTINENTAL|Диаметр (R)=20|Ширина шины=245|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0812/12328011_1.jpg;Шины;
R20 245/35 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12328017/;19.10.2023;100.00;995595798844;245/35 R20 პირელის ფირმის 2018 , დანლოპის ფირმის 2014 ცალ ცალი საბურავი (მითითებულია თითოს ფასი) სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=20|Ширина шины=245|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0812/12328017_1.jpg,https://static.my.ge/myparts/photos/thumbs/0812/12328017_2.jpg;Шины;
R20 245/45 Всесезонные;EvroMotorsi;https://www.myparts.ge/ru/pr/12327803/;24.10.2023;250.00;995595798844;245/45 R20 მიშელინის ფირმის 2018 წლის M+S და კონტინენტალის ფირმის 2018 წლის M+S წყვილი საბურავები , (მითითებულია წყვილის ფასი) სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=MICHELIN|Диаметр (R)=20|Ширина шины=245|Высота шины=45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327803_1.jpg,https://static.my.ge/myparts/photos/thumbs/0811/12327803_2.jpg;Шины;
R20 245/45 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327800/;21.10.2023;80.00;995595798844;245/45 R20 ბრიჯსტოუნის ფირმის 2020 წლის და ჩინური 2021 წლის ცალ ცალი საბურავი (მითითებულია ცალის ფასი ) სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=BRIDGESTONE|Диаметр (R)=20|Ширина шины=245|Высота шины=45|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327800_1.jpg,https://static.my.ge/myparts/photos/thumbs/0811/12327800_2.jpg;Шины;
R20 245/45 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327793/;19.10.2023;200.00;995595798844;245/45 R20 ბრიჯსტოუნის ფირმის 2021 წლის, ბრიჯსტოუნის ფირმის 2019 წლის და პირელის ფირმის 2019 წლის წყვილი საბურავი (მითითებულია წყვილის ფასი) სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=BRIDGESTONE|Диаметр (R)=20|Ширина шины=245|Высота шины=45|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327793_1.jpg,https://static.my.ge/myparts/photos/thumbs/0811/12327793_2.jpg,https://static.my.ge/myparts/photos/thumbs/0811/12327793_3.jpg;Шины;
R20 255/45 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327788/;21.10.2023;300.00;995595798844;255/45 R20 პირელის ფირმის 2019 წლის და დანლოპის ფირმის 2020 წლის წყვილი საბურავი , (მითითებულია წყვილის ფასი) სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=20|Ширина шины=255|Высота шины=45|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327788_1.jpg,https://static.my.ge/myparts/photos/thumbs/0811/12327788_2.jpg;Шины;
R20 275/30 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12328005/;21.10.2023;300.00;995595798844;275/30 R20 კონტინენტალის ფირმის 2 ცალი 2020 წლის საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=CONTINENTAL|Диаметр (R)=20|Ширина шины=275|Высота шины=30|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0812/12328005_1.jpg;Шины;
R20 275/30 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12328002/;21.10.2023;100.00;995595798844;275/30 R20 პირელის ფირმის 2019 წლის , გუდიარის ფირმის 2020 წლის . კონტინენტალის ფირმის 2021 წლის ცალ-ცალი საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=20|Ширина шины=275|Высота шины=30|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0812/12328002_1.jpg,https://static.my.ge/myparts/photos/thumbs/0812/12328002_2.jpg,https://static.my.ge/myparts/photos/thumbs/0812/12328002_3.jpg;Шины;
R20 275/35 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327998/;19.10.2023;250.00;995595798844;275/35 R20 ბრიჯსტოუნის ფირმის 2016 წლის 2 ცალი საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=BRIDGESTONE|Диаметр (R)=20|Ширина шины=275|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0812/12327998_1.jpg;Шины;
R20 275/40 Всесезонные;EvroMotorsi;https://www.myparts.ge/ru/pr/12327633/;21.10.2023;100.00;995595798844;275/40 R20 პირელის ფირმის 2017 წლის M+S. ცალ ცალი საბურავი ბრიჯსტოუნის ფირმის 2011 და ბრიჯსტოუნის ფირმის 2010 წლის საბურავი( მითითებულია თითოს ფასი) სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=20|Ширина шины=275|Высота шины=40|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327633_1.jpg,https://static.my.ge/myparts/photos/thumbs/0811/12327633_2.jpg,https://static.my.ge/myparts/photos/thumbs/0811/12327633_3.jpg;Шины;
R20 275/40 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327638/;19.10.2023;200.00;;275/40 R20 ჰენკოკის 2020 წლის RSC 2 ცალი საბურავი (მითითებულია წყვილის ფასი) სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=HANKOOK|Диаметр (R)=20|Ширина шины=275|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327638_1.jpg;Шины;
R20 275/45 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327785/;23.10.2023;500.00;995595798844;275/45 R20 ბრიჯსტოუნის ფირმის 4 ცალი 2020 წლის საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=BRIDGESTONE|Диаметр (R)=20|Ширина шины=275|Высота шины=45|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327785_1.jpg;Шины;
R20 305/40 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327674/;19.10.2023;250.00;995595798844;305/40 R20 ბრიჯსტოუნის ფირმის 2020 წლის 2 ცალი საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=BRIDGESTONE|Диаметр (R)=20|Ширина шины=305|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327674_1.jpg;Шины;
R20 305/40 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327669/;21.10.2023;500.00;995595798844;305/40 R20 ბრიჯსტოუნის ფირმის 2020 წლის 4 ცალი საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=BRIDGESTONE|Диаметр (R)=20|Ширина шины=305|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327669_1.jpg;Шины;
R20 315/30 Всесезонные;EvroMotorsi;https://www.myparts.ge/ru/pr/12327630/;23.10.2023;150.00;995595798844;315/35 R20 პირელის ფირმის Всесезонныеს M+S 2017 წლის საბურავი. სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=20|Ширина шины=315|Высота шины=30|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327630_1.jpg;Шины;
R20 315/35 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12326547/;23.10.2023;500.00;995595798844;315/35 R20 ჰენკოკის ფირმის 2020 წლის და დანლოპის ფირმის 2021 წლის წყვილი საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=HANKOOK|Диаметр (R)=20|Ширина шины=315|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0809/12326547_1.jpg,https://static.my.ge/myparts/photos/thumbs/0809/12326547_2.jpg;Шины;
R20 315/35 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12327647/;19.10.2023;500.00;995595798844;R20 315/35 დანლოპის ფირმის 2018 წლის საბურავები სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;Диаметр (R)=20|Ширина шины=315|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0811/12327647_1.jpg;Шины;
R21 275/40 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12326540/;21.10.2023;499.00;995595798844;275/40 R21 პირელის ფირმის 2020 წლის 2 ცალი საბურავი , სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=21|Ширина шины=275|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0809/12326540_1.jpg;Шины;
R21 315/35 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12326500/;19.10.2023;800.00;995595798844;315/35 R21 პირელის ფირმის 2020 წლის, ჰენკოკის 2020 წლის, ჰენკოკის 2022 წლის 2 ცალი საბურავი სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=21|Ширина шины=315|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0809/12326500_1.jpg,https://static.my.ge/myparts/photos/thumbs/0809/12326500_2.jpg,https://static.my.ge/myparts/photos/thumbs/0809/12326500_3.jpg;Шины;
R22 315/30 Летние;EvroMotorsi;https://www.myparts.ge/ru/pr/12326473/;21.10.2023;700.00;995595798844;315/30 R22 კონტინენტალის ფირმის 2021 წლის 2 ცალი და ჰენკოკის ფირმის 2021 წლის 2 ცალი საბურავი ,(მითითებულია წყვილის ფასი) სამუშაო პერიოდი 09:00-18:00 EvroMotorsi. არასამუშაო პერიოდში დაგვიტოვეთ შეტყობინება;Тбилиси;Тбилиси;марка=CONTINENTAL|Диаметр (R)=22|Ширина шины=315|Высота шины=30|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0809/12326473_1.jpg,https://static.my.ge/myparts/photos/thumbs/0809/12326473_2.jpg;Шины;
R20 275/55 Всесезонные;Elizbari;https://www.myparts.ge/ru/pr/12311563/;28.09.2023;400.00;995598630903;;Тбилиси;Тбилиси;Страна производитель=США|Диаметр (R)=20|Ширина шины=275|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0720/12311563_1.jpg,https://static.my.ge/myparts/photos/thumbs/0720/12311563_2.jpg,https://static.my.ge/myparts/photos/thumbs/0720/12311563_3.jpg,https://static.my.ge/myparts/photos/thumbs/0720/12311563_4.jpg;Шины;
R15 195/60 Всесезонные;Erik;https://www.myparts.ge/ru/pr/12356119/;30.09.2023;30.00;995599213036;ნორმალურ მდგომარეობაშია 195.60.15 30ლარი კარგ მდგომარეობაშია ფასი 50 ლარი;Тбилиси;Тбилиси;марка=FALKEN|Диаметр (R)=15|Ширина шины=195|Высота шины=60|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0930/12356119_1.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356119_2.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356119_3.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356119_4.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356119_5.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356119_6.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356119_7.jpg,https://static.my.ge/myparts/photos/thumbs/0930/12356119_8.jpg;Шины;
R19 245/45 Летние;Erosi;https://www.myparts.ge/ru/pr/12306468/;19.10.2023;750.00;995555504003;იაფად ვყიდი. მეჩქღება . სერიოზული საბურავებია! 2020 წლიანები!;Тбилиси;Тбилиси;марка=FIRESTONE|Диаметр (R)=19|Ширина шины=245|Высота шины=45|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0713/12306468_1.jpg,https://static.my.ge/myparts/photos/thumbs/0713/12306468_2.jpg,https://static.my.ge/myparts/photos/thumbs/0713/12306468_3.jpg,https://static.my.ge/myparts/photos/thumbs/0713/12306468_4.jpg,https://static.my.ge/myparts/photos/thumbs/0713/12306468_5.jpg;Шины;
R21 305/35 Всесезонные;Va;https://www.myparts.ge/ru/pr/12370504/;22.10.2023;400.00;995577039965;კარგ მდგომარეობაში;Тбилиси;Тбилиси;марка=PIRELLI|Диаметр (R)=21|Ширина шины=305|Высота шины=35|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1022/12370504_1.jpg,https://static.my.ge/myparts/photos/thumbs/1022/12370504_2.jpg,https://static.my.ge/myparts/photos/thumbs/1022/12370504_3.jpg;Шины;
R12.5 155/35 Всесезонные;Vazisubani Saburtalo;https://www.myparts.ge/ru/pr/12355476/;29.09.2023;80.00;995577148325;იყიდება საბურავი წყვილი 80 ლარი 150 ლარად მაქ ნაყიდი. 16/ 205/60 M/S. ზემოთ საბურავების მონაცემები ისე ჩავწერე მაგდენს ვერ ვერკვევი;Тбилиси;Тбилиси;марка=HANKOOK|Страна производитель=Германия|Диаметр (R)=12.5|Ширина шины=155|Высота шины=35|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0929/12355476_1.jpg,https://static.my.ge/myparts/photos/thumbs/0929/12355476_2.jpg;Шины;
R18 225/50 Всесезонные;Vako;https://www.myparts.ge/ru/pr/12356778/;01.10.2023;100.00;995597925192;იყიდება 2 ცალი საბურავი R18 225/50 Bridgestone კარგ მდგომარეობაში MS;Тбилиси;Тбилиси;марка=BRIDGESTONE|Страна производитель=Япония|Диаметр (R)=18|Ширина шины=225|Высота шины=50|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1001/12356778_1.jpg,https://static.my.ge/myparts/photos/thumbs/1001/12356778_2.jpg,https://static.my.ge/myparts/photos/thumbs/1001/12356778_3.jpg,https://static.my.ge/myparts/photos/thumbs/1001/12356778_4.jpg;Шины;
R15 185/65 Летние;Vano;https://www.myparts.ge/ru/pr/12371506/;23.10.2023;35.00;995557702210;"იყიდება საბურავები 4 ცალი Летниеს და 2 ცალი M+S 6 საბურავი არის R15/185/60;";Тбилиси;Тбилиси;марка=GENERAL|Страна производитель=Германия|Диаметр (R)=15|Ширина шины=185|Высота шины=65|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1023/12371506_1.jpg,https://static.my.ge/myparts/photos/thumbs/1023/12371506_2.jpg,https://static.my.ge/myparts/photos/thumbs/1023/12371506_3.jpg,https://static.my.ge/myparts/photos/thumbs/1023/12371506_4.jpg;Шины;
R16 265/70 Зимние;Vano;https://www.myparts.ge/ru/pr/12363627/;11.10.2023;1,300.00;995599730787;;Тбилиси;Тбилиси;марка=NEXEN|Диаметр (R)=16|Ширина шины=265|Высота шины=70|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1011/12363627_1.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363627_2.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363627_3.jpg,https://static.my.ge/myparts/photos/thumbs/1011/12363627_4.jpg;Шины;
R18 265/60 Зимние;Vano;https://www.myparts.ge/ru/pr/12362950/;10.10.2023;1,300.00;995579939373;;Тбилиси;Тбилиси;марка=TOYO|Страна производитель=Япония|Диаметр (R)=18|Ширина шины=265|Высота шины=60|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1010/12362950_1.jpg,https://static.my.ge/myparts/photos/thumbs/1010/12362950_2.jpg,https://static.my.ge/myparts/photos/thumbs/1010/12362950_3.jpg,https://static.my.ge/myparts/photos/thumbs/1010/12362950_4.jpg,https://static.my.ge/myparts/photos/thumbs/1010/12362950_5.jpg;Шины;
R22 265/35 Всесезонные;Vaja;https://www.myparts.ge/ru/pr/12360634/;07.10.2023;300.00;995557772200;2019 წლის საბურავები 300 ლარად 4 ცალი;Тбилиси;Тбилиси;Диаметр (R)=22|Ширина шины=265|Высота шины=35|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1007/12360634_1.jpg,https://static.my.ge/myparts/photos/thumbs/1007/12360634_2.jpg,https://static.my.ge/myparts/photos/thumbs/1007/12360634_3.jpg;Шины;
R16 205/55 Всесезонные;Vaso;https://www.myparts.ge/ru/pr/12359938/;06.10.2023;250.00;995591057103;საბურავები არის მოყოლილი ახალ მანქანას არის კარგ მდგომარეობაში არის მინიმუმ 80 - 70 % დეტალებზე დამიკავშირდით ვასო;Тбилиси;Тбилиси;Страна производитель=Австрия|Диаметр (R)=16|Ширина шины=205|Высота шины=55|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1006/12359938_1.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12359938_2.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12359938_3.jpg,https://static.my.ge/myparts/photos/thumbs/1006/12359938_4.jpg;Шины;
R18 235/45 Всесезонные;Vaso;https://www.myparts.ge/ru/pr/12362289/;09.10.2023;300.00;995593643364;იყიდება 2 ცალი მიშელინის ფირმის საბურავები, მოხსნილია 2021 წლის ქემრიდან თვითონ საბურავები არის 2022 წელს გამოშვებული.;Тбилиси;Тбилиси;марка=MICHELIN|Страна производитель=США|Диаметр (R)=18|Ширина шины=235|Высота шины=45|Сезон=Всесезонные|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1009/12362289_1.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362289_2.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362289_3.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362289_4.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362289_5.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362289_6.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362289_7.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362289_8.jpg,https://static.my.ge/myparts/photos/thumbs/1009/12362289_9.jpg;Шины;
R19 235/55 Зимние;Vaso;https://www.myparts.ge/ru/pr/12369561/;20.10.2023;750.00;995571716060;ბლიზაკის ფირმის ზამთრის საბურევაები ფასზე მოვრიგდებით;Тбилиси;Тбилиси;Страна производитель=США|Диаметр (R)=19|Ширина шины=235|Высота шины=55|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1020/12369561_1.jpg,https://static.my.ge/myparts/photos/thumbs/1020/12369561_2.jpg;Шины;
R18 225/40 Летние;Vato;https://www.myparts.ge/ru/pr/12372069/;24.10.2023;100.00;995599924212;იყიდება 2 ცალი მიშელინის ფირმის საბურავი იდიალურ მდგომარეობაში, მოხსნილია ამერიკიდან ჩამოყვანილ მანქანიდან, ეყენა უკან არაა რაზვალზე ნაცვეთი. 2018 წლის .;Тбилиси;Тбилиси;марка=MICHELIN|Страна производитель=США|Диаметр (R)=18|Ширина шины=225|Высота шины=40|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1024/12372069_1.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372069_2.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372069_3.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372069_4.jpg,https://static.my.ge/myparts/photos/thumbs/1024/12372069_5.jpg;Шины;
R19 255/70 Зимние;Vakho;https://www.myparts.ge/ru/pr/12367926/;18.10.2023;230.00;995591452044;კარგი მდგომარეობა 80პროცენტოანი, წყვილი, 230,ათის მს, ფიფქიანი;Тбилиси;Тбилиси;Страна производитель=Турция|Диаметр (R)=19|Ширина шины=255|Высота шины=70|Сезон=Зимние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1018/12367926_1.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12367926_2.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12367926_3.jpg,https://static.my.ge/myparts/photos/thumbs/1018/12367926_4.jpg;Шины;
R20 255/35 Летние;Vakho;https://www.myparts.ge/ru/pr/12365618/;14.10.2023;150.00;995571125444;R/20/255/35 იდეალურ მდგომარეობადი 70%-80% იანი წყვილის ფასი 250 ლარი;Тбилиси;Тбилиси;Диаметр (R)=20|Ширина шины=255|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1014/12365618_1.jpg,https://static.my.ge/myparts/photos/thumbs/1014/12365618_2.jpg,https://static.my.ge/myparts/photos/thumbs/1014/12365618_3.jpg,https://static.my.ge/myparts/photos/thumbs/1014/12365618_4.jpg;Шины;
R20 255/35 Летние;Vakho;https://www.myparts.ge/ru/pr/12332048/;14.10.2023;150.00;995571125444;R20/255/35 - წყვილი - 150 ლარი R20/275/35 - წყვილი - 300 ლარი;Тбилиси;Тбилиси;Диаметр (R)=20|Ширина шины=255|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0819/12332048_1.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332048_2.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332048_3.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332048_4.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332048_5.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332048_6.jpg;Шины;
R20 255/35 Летние;Vakho;https://www.myparts.ge/ru/pr/12332243/;25.10.2023;150.00;995571125444;დედალ-მამლები R20/275/35 - 300 ლარი (წყვილი) R20/255/35 - 150 ლარი (წყვილი);Тбилиси;Тбилиси;Диаметр (R)=20|Ширина шины=255|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0820/12332243_1.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332243_2.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332243_3.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332243_4.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332243_5.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332243_6.jpg;Шины;
R20 275/35 Летние;Vakho;https://www.myparts.ge/ru/pr/12332043/;21.10.2023;300.00;995571125444;R20 - დედალ-მამლები R20/275/35 - წყვილი - 300 ლარი R20/255/35 - წყვილი - 150 ლარი;Тбилиси;Тбилиси;Диаметр (R)=20|Ширина шины=275|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0819/12332043_1.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332043_2.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332043_3.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332043_4.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332043_5.jpg,https://static.my.ge/myparts/photos/thumbs/0819/12332043_6.jpg;Шины;
R20 275/35 Летние;Vakho;https://www.myparts.ge/ru/pr/12332241/;24.10.2023;150.00;995571125444;დედალ-მამლები R20/275/35 - 300 ლარი (წყვილი) R20/255/35 - 150 ლარი (წყვილი);Тбилиси;Тбилиси;Диаметр (R)=20|Ширина шины=275|Высота шины=35|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/0820/12332241_1.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332241_2.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332241_3.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332241_4.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332241_5.jpg,https://static.my.ge/myparts/photos/thumbs/0820/12332241_6.jpg;Шины;
R14 175/70 Летние;Vepkhvia;https://www.myparts.ge/ru/pr/12359715/;05.10.2023;40.00;995593363863;საბურავების ითხოვეს აღების შემთხვევაში ფასი აკლდება.;Тбилиси;Тбилиси;марка=RIKEN|Страна производитель=Корея|Диаметр (R)=14|Ширина шины=175|Высота шины=70|Сезон=Летние|Состояние=Подержанные;https://static.my.ge/myparts/photos/thumbs/1005/12359715_1.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359715_2.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359715_3.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359715_4.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359715_5.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359715_6.jpg,https://static.my.ge/myparts/photos/thumbs/1005/12359715_7.jpg;Шины;
